,pessoas,umidade,resposta
0,0,56.0,67.66727835760982
1,0,56.0,67.66727835760982
2,0,56.0,67.66727835760982
3,0,56.0,67.66727835760982
4,0,56.0,67.66727835760982
5,0,56.0,67.66727835760982
6,0,56.0,67.66727835760982
7,0,56.0,67.66727835760982
8,0,56.0,67.66727835760982
9,0,56.0,67.66727835760982
10,0,56.0,67.66727835760982
11,0,56.0,67.66727835760982
12,0,56.0,67.66727835760982
13,0,56.0,67.66727835760982
14,0,56.0,67.66727835760982
15,0,56.0,67.66727835760982
16,0,56.0,67.66727835760982
17,0,56.0,67.66727835760982
18,0,56.0,67.66727835760982
19,0,56.0,67.66727835760982
20,0,56.0,67.66727835760982
21,0,56.0,67.66727835760982
22,0,56.0,67.66727835760982
23,0,56.0,67.66727835760982
24,0,56.0,67.66727835760982
25,0,56.0,67.66727835760982
26,0,56.0,67.66727835760982
27,0,56.0,67.66727835760982
28,0,56.0,67.66727835760982
29,0,56.0,67.66727835760982
30,0,56.0,67.66727835760982
31,0,56.0,67.66727835760982
32,0,56.0,67.66727835760982
33,0,56.0,67.66727835760982
34,0,56.0,67.66727835760982
35,0,56.0,67.66727835760982
36,0,56.0,67.66727835760982
37,0,56.0,67.66727835760982
38,0,56.0,67.66727835760982
39,0,56.0,67.66727835760982
40,0,56.0,67.66727835760982
41,0,56.0,67.66727835760982
42,0,56.0,67.66727835760982
43,0,56.0,67.66727835760982
44,0,56.0,67.66727835760982
45,0,56.0,67.66727835760982
46,0,56.0,67.66727835760982
47,0,56.0,67.66727835760982
48,0,56.0,67.66727835760982
49,0,56.0,67.66727835760982
50,0,56.0,67.66727835760982
51,0,56.0,67.66727835760982
52,0,56.0,67.66727835760982
53,0,56.0,67.66727835760982
54,0,56.0,67.66727835760982
55,0,56.0,67.66727835760982
56,0,56.0,67.66727835760982
57,0,56.0,67.66727835760982
58,0,56.0,67.66727835760982
59,0,56.0,67.66727835760982
60,0,56.0,67.66727835760982
61,0,56.0,67.66727835760982
62,0,56.0,67.66727835760982
63,0,56.0,67.66727835760982
64,0,56.0,67.66727835760982
65,0,56.0,67.66727835760982
66,0,56.0,67.66727835760982
67,0,56.0,67.66727835760982
68,0,56.0,67.66727835760982
69,0,56.0,67.66727835760982
70,0,56.0,67.66727835760982
71,0,56.0,67.66727835760982
72,0,56.0,67.66727835760982
73,0,56.0,67.66727835760982
74,0,56.0,67.66727835760982
75,0,56.0,67.66727835760982
76,0,56.0,67.66727835760982
77,0,56.0,67.66727835760982
78,0,56.0,67.66727835760982
79,0,56.0,67.66727835760982
